name,street,city,zip_code,distance_km,phone,fax,email,website,latitude,longitude
Autohaus Karl + Co. GmbH & Co. KG,Carl-Bosch-Str. 6,Wiesbaden,65203,4.89 km, +49-611-278090, +49-611-2780939,info@bmw-karl-co.de,https://www.autohaus-krah-enders.de/,50.0421735,8.2209446
Autohaus Karl + Co. GmbH & Co. KG,Alte Mainzer Str. 121,Mainz,55129,12.86 km, +49-6131-83060, +49-6131-8306-633,info@bmw-karl-co.de,https://www.autohaus-krah-enders.de/,49.9724454,8.282124399999999
Autohaus Krah + Enders GmbH & Co. KG,Black & Decker Str. 1-3,Idstein,65510,14.51 km, +49-6126-596-0, +49-6126-596-40,info@bmw-krah-enders-idstein.de,https://www.autohaus-krah-enders.de/,50.2144977,8.2538144
Autohaus Euler Hofheim GmbH,Nordring 15-21,Hofheim,65719,15.5 km, +49-6192-99080, +49-6192-990855,info@euler-group.de,https://www.bmw-euler.de/,50.091606,8.4587065
Autohaus Karl + Co. GmbH & Co. KG,Stahlstr. 22,Rüsselsheim,65428,18 km, +49-6142-8350-0, +49-6142-8350-199,info@bmw-karl-co.de,https://www.autohaus-krah-enders.de/,49.9759646,8.431655100000002
WELLER Premium GmbH,Frankfurter Str. 40-42,Kronberg,61476,22.35 km, +49-6173-99610, +49-6173-996195,kb@wellergruppe.de,https://www.bmw-bundk.de/,50.17476509999999,8.5219351
Autohaus Wallenwein GmbH,Scharlachbergstr. 1,Bingen,55411,28.12 km, +49-6721-97300, +49-6721-973030,info@wallenwein.com,https://bmw.de/de/partner/autohaus-wallenwein-bingen-buedesheim-27920.html,49.9521336,7.908042999999999
Autohaus Euler GmbH,Karl-von-Drais-Str. 7-9,Frankfurt am Main,60435,32.04 km, +49-69-548200, +49-69-5482016,info@euler-group.de,https://www.bmw-euler.de/,50.1474425,8.6802096
WELLER Premium GmbH,Ober-Eschbacher Str. 153,Bad Homburg v.d.H.,61352,32.7 km, +49-6172-30900, +49-6172-30902004,hg@wellergruppe.de,https://wellergruppe.de/marken/bmw,50.2104903,8.6552182
BMW AG Niederlassung Dreieich,Gustav-Otto-Str. 1,Dreieich,63303,33.29 km, +49-6103-9300-0, +49-6103-9300860,nl.dreieich@bmw.de,https://www.bmw-dreieich.de/de/home/,50.0336698,8.7025703
