name,address,phone,fax,email,website,latitude,longitude
Ludwig Dippel GmbH,"Marburger Straße 50 , 35279 Neustadt",+49 6692 96010,+49 6692 960120,info@autopark-dippel.de,https://www.volkswagen.de/de/haendler-werkstatt/autopark-ludwig-dippel-neustadt.html,50.85066,9.10598
Autohaus Nidda GmbH,"Eisenried 7 , 63667 Nidda",+49 6043 985700,+49 6043 9857029,info@vw-nidda.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-nidda.html,50.417355,9.018575
Autohaus Boese & Born GmbH & Co.KG,"Stephan-Niderehe-Straße 24 , 35037 Marburg",+49 6421 93630,+49 6421 936325,service@boese-und-born.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-boese-born-marburg.html,50.793262,8.751138
Auto-Häuser GmbH & Co. KG,"Gießener Straße 9 , 35415 Pohlheim",+49 6403 95950,+49 6403 959522,info@autohaeuser-pohlheim.de,https://www.volkswagen.de/de/haendler-werkstatt/auto-haeuser-pohlheim.html,50.533836,8.708401
Autohaus Brass Vertriebs GmbH & Co. KG,"Frankfurter Straße 171 , 35392 Giessen",+49 641 92300,+49 641 923000,info.giessen@brass-gruppe.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-brass-giessen.html,50.565647,8.654556
Autohaus Feldmann GmbH & Co. KG,"Burgstraße 2 , 34582 Borken",+49 5682 2316,+49 5682 6138,kontakt@autohaus-feldmann.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-feldmann-borken.html,51.02282,9.25617
Autohaus Hoch GmbH & Co.,"Bahnhofstraße 16-20 , 35075 Gladenbach",+49 6462 91860,+49 6462 5830,info@autohaus-hoch.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-hoch-gladenbach.html,50.766483,8.58346
Autohaus Salzmann GmbH & Co.KG,"An der Haune 2 , 36251 Bad Hersfeld",+49 6621 50540,+49 6621 505450,info@salzmann-automobile.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-salzmann-bad-hersfeld.html,50.859932,9.721734
Auto-Bach GmbH,"Hermannsteiner Straße 40-44 , 35576 Wetzlar",+49 6441 93730,+49 6441 937353,info-wetzlar@autobach.de,https://www.volkswagen.de/de/haendler-werkstatt/auto-bach-wetzlar.html,50.56914,8.49893
Autohaus Staaf GmbH,"Friedberger Straße 91-93 , 61130 Nidderau",+49 6187 20110,+49 6187 201144,info@staaf.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-staaf-nidderau.html,50.24168,8.85952
Autohaus Range GmbH,"Wolfhager Straße 7 , 34560 Fritzlar",+49 5622 99599,+49 5622 995900,info@autohaus-range.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-range-fritzlar.html,51.139046,9.27383
Autohaus Romeis GmbH,"Berliner Straße 21 , 36129 Gersfeld",+49 6654 96200,+49 6654 962022,matthias.romeis@de630530.vapn.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-romeis-gersfeld.html,50.45143,9.91209
Volkswagen Automobile Frankfurt GmbH,"Donaustraße 32 , 63452 Hanau",+49 6181 90095000,+49 6181 90095918,info@volkswagen-frankfurt.de,https://www.volkswagen.de/de/haendler-werkstatt/volkswagen-automobile-hanau.html,50.15205,8.93345
Autohaus Bredler GmbH & Co. KG,"Friedberger Straße 114 , 61118 Bad Vilbel",+49 6101 2265,+49 6101 7688,info@bredler.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-bredler-bad-vilbel.html,50.19087,8.74261
Autohaus Fischer-Schädler GmbH,"Zeppelinstraße 10-12, 13-15 , 61118 Bad Vilbel",+49 6101 52670,+49 6101 526767,mail@fischer-schaedler.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-fischer-schaedler-bad-vilbel.html,50.19314,8.72628
Autohaus Am Steinheimer Tor GmbH,"Am Steinheimer Tor 4 , 63450 Hanau",+49 6181 428280,+49 6181 4282829,info@vw-hanau.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-am-steinheimer-tor-hanau.html,50.12892,8.91486
Auto Bach GmbH,"Urseler Straße 61 , 61348 Bad Homburg",+49 6172 30870,+49 6172 308740,info-homburg@autobach.de,https://www.volkswagen.de/de/haendler-werkstatt/auto-bach-bad-homburg.html,50.21933,8.607577
Autohaus Koch GmbH,"An den drei Hasen 3 , 61440 Oberursel",+49 6171 59000,+49 6171 55055,kontakt@autohauskoch.com,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-koch-oberursel.html,50.203117,8.595599
Volkswagen Automobile Frankfurt  GmbH,"Hügelstraße 21 , 60435 Frankfurt",+49 69 8700167000,+49 69 8700167960,info@volkswagen-frankfurt.de,https://www.volkswagen.de/de/haendler-werkstatt/volkswagen-automobile-frankfurt-eckenheim.html,50.14955,8.677497
Hoppmann Automobil GmbH,"Erlachstraße 3 , 35708 Haiger",+49 2773 7107570,+49 2773 71075725,info-haiger@hoppmann-autowelt.de,https://www.volkswagen.de/de/haendler-werkstatt/hoppmann-automobil-haiger.html,50.745255,8.202481
Günter Hegel GmbH,"Oberstraße 32 , 59964 Medebach",+49 2982 8553,+49 2982 657,info@auto-hegel.de,https://www.volkswagen.de/de/haendler-werkstatt/autohaus-guenter-hegel-medebach.html,51.20066,8.7004
