name,street,city,distance_km,phone,fax,email,website
Autohaus Karl + Co. GmbH & Co. KG,Carl-Bosch-Str. 6,65203 Wiesbaden,4.89 km,+49-611-278090,,info@bmw-karl-co.de,https://www.autohaus-krah-enders.de/
Autohaus Karl + Co. GmbH & Co. KG,Alte Mainzer Str. 121,55129 Mainz,12.86 km,+49-6131-83060,,info@bmw-karl-co.de,https://www.autohaus-krah-enders.de/
Autohaus Krah + Enders GmbH & Co. KG,Black & Decker Str. 1-3,65510 Idstein,14.51 km,+49-6126-596-0,,info@bmw-krah-enders-idstein.de,https://www.autohaus-krah-enders.de/
Autohaus Euler Hofheim GmbH,Nordring 15-21,65719 Hofheim,15.5 km,+49-6192-99080,,info@euler-group.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Karl + Co. GmbH & Co. KG,Stahlstr. 22,65428 Rüsselsheim,18 km,+49-6142-8350-0,,info@bmw-karl-co.de,https://www.autohaus-krah-enders.de/
WELLER Premium GmbH,Frankfurter Str. 40-42,61476 Kronberg,22.35 km,+49-6173-99610,,kb@wellergruppe.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Wallenwein GmbH,Scharlachbergstr. 1,55411 Bingen,28.12 km,+49-6721-97300,,info@wallenwein.com,https://www.youtube.com/user/BMWDeutschland
Autohaus Euler GmbH,Karl-von-Drais-Str. 7-9,60435 Frankfurt am Main,32.04 km,+49-69-548200,,info@euler-group.de,https://www.youtube.com/user/BMWDeutschland
WELLER Premium GmbH,Ober-Eschbacher Str. 153,61352 Bad Homburg v.d.H.,32.7 km,+49-6172-30900,,hg@wellergruppe.de,https://www.youtube.com/user/BMWDeutschland
BMW AG Niederlassung Dreieich,Gustav-Otto-Str. 1,63303 Dreieich,33.29 km,+49-6103-9300-0,,nl.dreieich@bmw.de,https://www.youtube.com/user/BMWDeutschland
Cloppenburg GmbH,Industriestr. 37,55543 Bad Kreuznach,35.78 km,+49-671-887000,,info@cloppenburg-badkreuznach.de,https://www.youtube.com/user/BMWDeutschland
BMW AG Niederlassung Darmstadt,Marburger Str. 22,64289 Darmstadt,36.94 km,+49-6151-70070,,nl.darmstadt@bmw.de,https://www.youtube.com/user/BMWDeutschland
BMW AG Niederlassung Frankfurt,Hanauer Landstr. 255,60314 Frankfurt am Main,34.45 km,+49-69-8500010,,nl.frankfurt@bmw.de,https://www.youtube.com/user/BMWDeutschland
Cloppenburg GmbH,Galgenwiesenweg 15-17,55232 Alzey,37.89 km,+49-6731-95360,,info-az@auto-cloppenburg.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Krah + Enders GmbH & Co. KG,An der Meil 6,65555 Limburg a.d. Lahn,37.94 km,+49-6431-5295-0,,info@bmw-krah-enders-limburg.de,https://www.autohaus-krah-enders.de/
Autohaus Euler Mühlheim GmbH Filiale Rödermark,Carl-Zeiss-Str. 8,63322 Rödermark,43.63 km,+49-6074-886990,,info@euler-group.de,https://www.youtube.com/user/BMWDeutschland
BMW AG Niederlassung Offenbach,Spessartring 9,63071 Offenbach,37.76 km,+49-6181-409870,,autohaus@bmw-krah-enders-maintal.de,https://www.autohaus-krah-enders.de/
Emil Frey Vogel Automobile GmbH,Gießer Weg 16,64673 Zwingenberg,47.77 km,+49-6251-7099-0,,info@bmw-vogel.de,https://www.emilfrey.de/vogel-automobile
Adolf Cuntz KG,Auf dem Sand 6,67547 Worms,48.46 km,+49-6232-69700,,info@autohaus-cuntz.de,https://www.autohaus-cuntz.de/
Team Pilz GmbH,Aschaffenburger Straße 44,64807 Dieburg,48.5 km,+49-6071-20900,,info@bmw-service-pilz.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Manfred Maurer GmbH,Attenbachstr. 2,35619 Braunfels,48.79 km,+49-6442-93450,,martina.obergfell@maurer-bmw-service.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Weissenfels GmbH,Alleestr. 15-17,56410 Montabaur,48.96 km,+49-2602-15650,,info@bmw-weissenfels.de,https://www.youtube.com/user/BMWDeutschland
Müller-Dynamic GmbH,Rudolf-Diesel-Str. 1,55469 Simmern,51.93 km,+49-6761-95960,,kontakt@mueller-bmw.com,https://www.youtube.com/user/BMWDeutschland
Autohaus Euler Mühlheim GmbH,Dieselstr. 14,63512 Hainburg,52.03 km,+49-6182-95990,,info@euler-group.de,https://www.youtube.com/user/BMWDeutschland
HANKO Kraftfahrzeughandel GmbH,Moselring 27-29,56073 Koblenz,55.66 km,+49-261-40460,,info@hanko.de,https://www.youtube.com/user/BMWDeutschland
Auto Wüst GmbH,Hauptstr. 28,56459 Kölbingen,56.32 km,+49-2663-98799-30,,info@auto-wuest.de,https://www.youtube.com/user/BMWDeutschland
Alfred Wahl GmbH & Co. KG,Dillfeld 25,35576 Wetzlar,56.54 km,+49-6441-91070,,bmw.wetzlar@wahl-group.de,https://www.youtube.com/user/BMWDeutschland
Klaus Scheller GmbH,Industriestr. 9,67269 Grünstadt,58.53 km,+49-6359-93240,,info@bmw-scheller.de,https://www.youtube.com/user/BMWDeutschland
Alfred Wahl GmbH & Co. KG,Gottlieb-Daimler-Str. 1,35398 Gießen,62.78 km,+49-641-610660,,bmw.giessen@wahl-group.de,https://www.youtube.com/user/BMWDeutschland
Hermann Arnold GmbH,Großostheimer Str. 90,63741 Aschaffenburg,64.53 km,+49-6021-442420,,info@bmw-arnold.com,https://www.youtube.com/user/BMWDeutschland
Adolf Cuntz KG,Lorscher Str. 7,69469 Weinheim,64.9 km,+49-6201-34022,,info@autohaus-cuntz.de,https://www.autohaus-cuntz.de/
Autohaus Krah + Enders GmbH & Co. KG,Raun 97-99,63667 Nidda,65.44 km,+49-6043-404-0,,info@bmw-krah-enders-nidda.de,https://www.autohaus-krah-enders.de/
Team Pilz GmbH,Danziger Str. 5,64732 Bad König,65.79 km,+49-6063-93090,,info@bmw-service-pilz.de,https://www.youtube.com/user/BMWDeutschland
Hakvoort GmbH,Bismarckstr. 59,56470 Bad Marienberg,65.92 km,+49-2661-912310,,kontakt@hakvoort.de,https://www.youtube.com/user/BMWDeutschland
HANKO Kraftfahrzeughandel GmbH,Stettiner Str. 1,56564 Neuwied,66.5 km,+49-2631-39500,,info@hanko.de,https://www.youtube.com/user/BMWDeutschland
BMW AG Niederlassung Mannheim Gebrauchte Automobile Zentrum,Inselstr. 2,68169 Mannheim,66.54 km,+49-621-8357-0,,bmw-mannheim@bmw.de,https://www.youtube.com/user/BMWDeutschland
Klaus Scheller GmbH,Triftweg 10,67098 Bad Dürkheim,69.2 km,+49-6322-94250,,info@bmw-scheller.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Eichhorn Automotive GmbH,Römerstr. 113,63785 Obernburg,70.16 km,+49-6022-62170,,info@auto-eichhorn.de,https://www.auto-eichhorn.de/
Hermann Arnold GmbH,Industriestr. 1-3,63768 Hösbach,70.47 km,+49-6021-59900,,info@bmw-arnold.com,https://www.youtube.com/user/BMWDeutschland
Müller Automotive GmbH,Robert-Bosch-Str. 15,64711 Erbach,71.08 km,+49-6062-9430-0,,team@bmw-mueller.com,https://www.youtube.com/user/BMWDeutschland
Autohaus Günther GmbH,Leipziger Allee 51,63571 Gelnhausen,71.94 km,+49-6051-97600,,achim.guenther@bmw-guenther.de,https://www.youtube.com/user/BMWDeutschland
Cloppenburg GmbH,Kaufacker 9,55743 Idar-Oberstein,73.19 km,+49-6784-99350,,info@cloppenburg-idaroberstein.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Knopf GmbH & Co. KG,Carl-Benz-Str. 12,69198 Schriesheim,75.12 km,+49-6203-69780,,autohaus.knopf@bmw-service-knopf.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Kainz GmbH & Co. KG Mayen,August-Horch-Str. 1,56736 Kottenheim b. Mayen,75.48 km,+49-2651-95890,,info.mayen@kainz-gruppe.de,https://www.autohaus-kainz.de/
Alfred Wahl GmbH & Co. KG,Auf der Langaar 1,35684 Dillenburg,76.07 km,+49-2771-81660,,bmw.dillenburg@wahl-group.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Krauth GmbH & Co. KG,In der Gabel 12,69123 Heidelberg,79.93 km,+49-6221-73660,,info@bmw-krauth.de,https://www.youtube.com/user/BMWDeutschland
Hakvoort GmbH,Lise-Meitner-Str. 9,57610 Altenkirchen,80.4 km,+49-2681-87980,,kontakt-AK@hakvoort.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Euler Kaiserslautern GmbH,Opelkreisel 28a,67663 Kaiserslautern,80.64 km,+49-631-351130,,info@euler-group.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Eichhorn Automotive GmbH,Lassallestr. 9,63897 Miltenberg,82.27 km,+49-9371-40390,,info@auto-eichhorn.de,https://www.auto-eichhorn.de/
Auto-Albert GmbH,Kuseler Str. 20,55774 Baumholder,83.05 km,+49-6783-99450,,auto-albert@bmw-auto-albert.de,https://www.youtube.com/user/BMWDeutschland
Alfred Wahl GmbH & Co. KG,Talstr. 19,35232 Dautphetal,83.73 km,+49-6468-9140-0,,bmw.dautphetal@wahl-group.de,https://www.youtube.com/user/BMWDeutschland
Alfred Wahl GmbH & Co. KG,Industriestr. 7,57518 Betzdorf,84.03 km,+49-2741-92060,,bmw.betzdorf@wahl-group.de,https://www.youtube.com/user/BMWDeutschland
Alfred Wahl GmbH & Co. KG,Zu den Sandbeeten 10,35043 Marburg,85.56 km,+49-6421-9468-0,,bmw.marburg@wahl-group.de,https://www.youtube.com/user/BMWDeutschland
Autohaus Euler Pirmasens GmbH,Bruchwiesenstr. 38-40,66849 Landstuhl,88.4 km,+49-6371-92500,,info@euler-group.de,https://www.youtube.com/user/BMWDeutschland
